"","date","n"
"267",2013-10-08,3
"268",2013-10-09,3
"269",2013-10-11,4
"270",2013-10-12,1
"271",2013-10-13,7
"272",2013-10-14,5
"273",2013-10-15,3
"274",2013-10-16,2
"275",2013-10-17,4
"276",2013-10-18,3
"277",2013-10-19,3
"278",2013-10-20,3
"279",2013-10-21,4
"280",2013-10-22,4
"281",2013-10-23,3
"282",2013-10-24,5
"283",2013-10-25,8
"284",2013-10-26,6
"285",2013-10-27,7
"286",2013-10-28,4
"287",2013-10-29,4
"288",2013-10-30,5
"289",2013-10-31,4
"290",2013-11-01,3
"291",2013-11-02,1
"292",2013-11-03,2
"293",2013-11-04,3
"294",2013-11-05,2
"295",2013-11-06,2
"296",2013-11-07,1
"297",2013-11-08,1
"298",2013-11-10,2
"299",2013-11-11,4
"300",2013-11-13,3
"301",2013-11-14,2
"302",2013-11-15,3
"303",2013-11-16,3
"304",2013-11-17,3
"305",2013-11-18,4
"306",2013-11-19,5
"307",2013-11-20,3
"308",2013-11-21,2
"309",2013-11-22,6
"310",2013-11-23,3
"311",2013-11-24,2
"312",2013-11-25,4
"313",2013-11-26,2
"314",2013-11-27,2
"315",2013-11-28,4
"316",2013-11-29,3
"317",2013-12-01,3
"318",2013-12-02,3
"319",2013-12-03,2
"320",2013-12-04,2
"321",2013-12-05,2
"322",2013-12-06,3
"323",2013-12-07,5
"324",2013-12-08,4
"325",2013-12-09,1
"326",2013-12-10,3
"327",2013-12-11,2
"328",2013-12-12,3
"329",2013-12-13,4
"330",2013-12-14,3
"331",2013-12-16,2
"332",2013-12-18,1
"333",2013-12-19,1
"334",2013-12-20,2
"335",2013-12-21,2
"336",2013-12-22,1
"337",2013-12-23,1
"338",2013-12-24,2
"339",2013-12-25,1
"340",2013-12-26,2
"341",2013-12-27,4
"342",2013-12-28,3
"343",2013-12-29,8
"344",2013-12-30,1
"345",2013-12-31,2
"346",2014-01-01,2
"347",2014-01-02,3
"348",2014-01-03,5
"349",2014-01-04,7
"350",2014-01-05,2
"351",2014-01-06,1
"352",2014-01-07,2
"353",2014-01-08,1
"354",2014-01-09,3
"355",2014-01-10,1
"356",2014-01-12,2
"357",2014-01-13,1
"358",2014-01-14,6
"359",2014-01-15,2
"360",2014-01-16,7
"361",2014-01-17,1
"362",2014-01-18,1
"363",2014-01-19,1
"364",2014-01-20,4
"365",2014-01-21,5
"366",2014-01-22,1
"367",2014-01-23,1
"368",2014-01-24,2
"369",2014-01-25,2
"370",2014-01-26,2
"371",2014-01-27,3
"372",2014-01-28,4
